acad_name,sitemap_file,url_count,log10_url_count,median_depth
Algerian Academy of Sciences and Technology,www.aast.dz_sitemap.xml,312,2.494154594018443,8.0
Royal Academy of Medicine of Belgium,www.academiegeneeskunde.be_python_sitemap.xml,100,2.0,5.0
"Royal Academy of Science, Letters and Fine Arts of Belgium",academieroyale.be_sitemap.xml,2,0.3010299956639812,6.0
National Academy of Sciences of Bolivia,www.aciencias.org.bo_sitemap.xml,1372,3.137354111370733,7.0
Botswana Academy of Sciences,www.bas.co.bw_sitemap.xml,14,1.146128035678238,5.0
Hong Kong Academy of Engineering,hkae.hk_advanced_sitemap.xml,99,1.99563519459755,3.0
The Learned Society of the Czech Republic,www.learned.cz_advanced_sitemap.xml,950,2.9777236052888476,4.0
Congolese Academy of Sciences,www.accos.cd_python_sitemap.xml,22,1.3424226808222062,1.0
Academy of Arles,academie.arles.free.fr_python_sitemap.xml,1,0.0,0.0
Academy of Nîmes,www.academiedenimes.org_advanced_sitemap.xml,9,0.9542425094393249,2.0
Academy of Vaucluse,www.academiedevaucluse.fr_python_sitemap.xml,100,2.0,3.0
"Academy of Sciences, Humanities and Arts of Besançon and of Franche-Comté",www.acadsciences-besancon.asso.fr_sitemap.xml,40,1.6020599913279623,7.0
"Academy of Sciences, Inscriptions and Humanities of Toulouse",www.academie-sciences-lettres-toulouse.fr_advanced_sitemap.xml,1037,3.015778756389041,1.0
"Academy of Sciences, Literature and Arts of Lyon",academie-sbla-lyon.fr_sitemap.xml,1133,3.0542299098633974,8.0
"Academy of Sciences, Humanities and Arts of Rouen",academie1744-rouen.fr_advanced_sitemap.xml,31,1.4913616938342726,1.0
"Academy of Alsace of Sciences, Letters and Arts",www.academie-alsace.fr_python_sitemap.xml,100,2.0,1.0
"Academy of Medical, Physical and Natural Sciences of Guatemala",acaciencias.org.gt_sitemap.xml,89,1.9493900066449128,8.0
Hungarian Academy of Engineering,www.mernokakademia.hu_sitemap.xml,564,2.751279103983342,7.0
"National Society of Sciences, Letters and Arts of Naples",snsla.it_advanced_sitemap.xml,2504,3.398634324538392,2.0
"National Academy of Sciences, Letters and Arts of Palermo",www.ansla.it_sitemap.xml,191,2.2810333672477277,6.0
Academy of Sciences of the Institute of Bologna,site.unibo.it_python_sitemap.xml,100,2.0,4.0
National Academy of Sciences of the Republic of Kazakhstan,qazscience.gov.kz_python_sitemap.xml,63,1.7993405494535817,3.0
Lebanese Academy of Sciences,www.asduliban.org_sitemap.xml,101,2.0043213737826426,6.0
Malagasy Academy,ras.org.rw_sitemap.xml,113,2.0530784434834195,6.0
Academy of Sciences in Malawi,aosci.org_sitemap.xml,17,1.2304489213782739,6.0
Mauritius Academy of Science and Technology,mastmu.org_python_sitemap.xml,34,1.5314789170422551,3.0
Montenegrin Academy of Sciences and Arts,www.canu.me_sitemap.xml,1137,3.0557604646877348,6.0
"Engineering Academy, Portugal",acad-engenharia.pt_advanced_sitemap.xml,100,2.0,1.0
Romanian Academy,acad.ro_sitemap.xml,76,1.8808135922807914,8.0
Rwanda Academy of Sciences,ras.org.rw_sitemap.xml,113,2.0530784434834195,6.0
Academy of Science of South Africa,www.assaf.org.za_advanced_sitemap.xml,1177,3.0707764628434346,4.0
Royal Academy of Sciences and Arts of Barcelona,www.racab.cat_advanced_sitemap.xml,995,2.9978230807457256,5.0
Royal Academy of Sciences and Arts of Barcelona,www.racab.es_python_sitemap.xml,1,0.0,0.0
Royal National Academy of Medicine of Spain,ranm.es_python_sitemap.xml,100,2.0,1.0
Royal Society of Arts and Sciences of Uppsala,www.kvsu.se_sitemap.xml,1,0.0,6.0
Swiss Academy of Arts and Sciences,swiss-academies.ch_advanced_sitemap.xml,4085,3.6111920608684343,2.0
Tanzania Academy of Sciences,www.taas-online.or.tz_sitemap.xml,910,2.9590413923210934,7.0
Caribbean Academy of Sciences,casregional.org_advanced_sitemap.xml,70,1.845098040014257,1.0
The Science Academy,bilimakademisi.org_advanced_sitemap.xml,2431,3.3857849588433355,2.0
Connecticut Academy of Arts and Sciences,caas.yale.edu_python_sitemap.xml,100,2.0,2.0
Connecticut Academy of Science and Engineering,ctcase.org_advanced_sitemap.xml,12,1.0791812460476249,1.0
Pontifical Academy of Sciences,www.pas.va_python_sitemap.xml,100,2.0,4.0
Zambia Academy of Sciences,zaas.org.zm_sitemap.xml,3,0.47712125471966244,5.0
